Transaction Date Time,Unique Transaction ID,Vehicle Registration No.,Narration,MERCHANT ID,Opening Balance,TXN AMOUNT,CR/DR,Closing Balance
10-APR-2026 09:20:25 PM,0010002604102120241294,KA03NV3149,ETC/5920260410212025/0010002604102120241294/KA03NV3149/556028/19000016154610,Kanakapura Road (P3) Plaza,607.0,68.0,DR,539.0
10-APR-2026 08:53:59 PM,356110B11100426205351,,ETC/Sheshagirihalli Toll Plaza/AnnualPass/KA03NV3149,,607.0,180.0,DR,607.0
10-APR-2026 02:12:03 PM,6457038401,KA03NV3149,ETC/5120260410141203/006457038401/KA03NV3149/712586/19000016154610,Chamundeswari temple parking,647.0,40.0,DR,607.0
09-APR-2026 11:59:09 AM,3400570M7090426115901,,ETC/Gananguru Toll Plaza/AnnualPass/KA03NV3149,,647.0,175.0,DR,647.0
09-APR-2026 10:09:38 AM,35000000000389135,,STAN:HD016099BALAAAEAQM01/Top-Up/ur:250000296407/Billdesk/19000016154610/PARAS JAIN,POS0,147.0,500.0,CR,647.0
09-APR-2026 10:06:40 AM,3561110N9090426100638,,ETC/Kaniminike Toll Plaza/AnnualPass/KA03NV3149,,147.0,180.0,DR,147.0
09-APR-2026 09:53:31 AM,0010012604090953314913,KA03NV3149,ETC/7920260409095331/0010012604090953314913/KA03NV3149/556030/19000016154610,Mysore Road (P5) Plaza,328.0,181.0,DR,147.0
